movie_title,wiki_summary
'Til There Was You (1997),"'Til There Was You is a 1997 American romantic comedy film directed by Scott Winant and starring Jeanne Tripplehorn, Dylan McDermott, and Sarah Jessica Parker."
1-900 (1994),1-900 or 06 is a 1994 Dutch erotic romantic drama film directed by Theo Van Gogh.
101 Dalmatians (1996),"101 Dalmatians is a 1996 American adventure comedy film produced by Walt Disney Pictures and Great Oaks Entertainment, with distribution by Buena Vista Pictures Distribution."
12 Angry Men (1957),"12 Angry Men is a 1957 American legal drama film directed by Sidney Lumet, adapted from a 1954 teleplay of the same name by Reginald Rose."
187 (1997),One Eight Seven (also known as 187) is a 1997 American crime thriller film directed by Kevin Reynolds.
2 Days in the Valley (1996),2 Days in the Valley is a 1996 American neo noir crime black comedy film written and directed by John Herzfeld.
"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea is a 1954 American science fiction adventure film directed by Richard Fleischer, from a screenplay by Earl Felton."
3 Ninjas: High Noon At Mega Mountain (1998),3 Ninjas: High Noon at Mega Mountain is a 1998 American martial arts film.
"39 Steps, The (1935)","The 39 Steps is a 1935 British spy thriller film directed by Alfred Hitchcock, starring Robert Donat and Madeleine Carroll."
8 1/2 (1963),"8+1⁄2 (Italian title: Otto E Mezzo, pronounced [ˈɔtto e mˈmɛddzo]) is an Italian 1963 avant-garde surrealist comedy-drama film directed and co-written (with Tullio Pinelli, Ennio Flaiano and Brunello Rondi) by Federico Fellini."
8 Heads in a Duffel Bag (1997),"8 Heads in a Duffel Bag is a 1997 black comedy film starring Joe Pesci, Kristy Swanson and David Spade."
8 Seconds (1994),8 Seconds is a 1994 American contemporary Western biographical drama film directed by John G. Avildsen.
A Chef in Love (1996),"A Chef in Love, (Georgian: შეყვარებული კულინარის 1001 რეცეპტი / Shekvarebuli kulinaris ataserti retsepti, literally, ""1001 recipes of a chef in love"") is a 1996 Georgian film directed by Nana Dzhordzhadze."
Above the Rim (1994),Above the Rim is a 1994 American sports drama film co-written and directed by Jeff Pollack in his directorial debut.
Absolute Power (1997),"Absolute Power is a 1997 American political action thriller film produced by, directed by, and starring Clint Eastwood as a master jewel thief who witnesses the killing of a woman by Secret Service agents."
"Abyss, The (1989)","The Abyss is a 1989 American science fiction film written and directed by James Cameron and starring Ed Harris, Mary Elizabeth Mastrantonio, and Michael Biehn."
Ace Ventura: Pet Detective (1994),"Ace Ventura: Pet Detective is a 1994 American comedy film starring Jim Carrey as Ace Ventura, an animal detective who is tasked with finding the abducted dolphin mascot of the Miami Dolphins football team."
Ace Ventura: When Nature Calls (1995),"Ace Ventura: When Nature Calls (also known as Ace Ventura 2: When Nature Calls) is a 1995 American detective comedy film and the sequel to Ace Ventura: Pet Detective (1994), and the second installment of the Ace Ventura franchise."
Across the Sea of Time (1995),"Across the Sea of Time is a 1995 American IMAX 3D adventure film produced and directed by Stephen Low, and written by Andrew Gellis."
Addams Family Values (1993),"Addams Family Values is a 1993 American supernatural black comedy film directed by Barry Sonnenfeld and written by Paul Rudnick, based on the characters created by Charles Addams."
Addicted to Love (1997),"Addicted to Love is a 1997 American romantic black comedy film directed by Griffin Dunne and starring Meg Ryan, Matthew Broderick, Tchéky Karyo, and Kelly Preston."
"Addiction, The (1995)",The Addiction is a 1995 American vampire horror film directed by Abel Ferrara and written by Nicholas St.
"Adventures of Pinocchio, The (1996)","The Adventures of Pinocchio is a 1996 fantasy family film, directed by Steve Barron and based on the original 1883 novel of the same name by Carlo Collodi."
"Adventures of Priscilla, Queen of the Desert, The (1994)","The Adventures of Priscilla, Queen of the Desert is a 1994 Australian road comedy film written and directed by Stephan Elliott."
"Adventures of Robin Hood, The (1938)",The Adventures of Robin Hood is a 1938 American Technicolor epic swashbuckler film from Warner Bros.
"Affair to Remember, An (1957)",An Affair to Remember is a 1957 American romance film directed by Leo McCarey and starring Cary Grant and Deborah Kerr.
"African Queen, The (1951)",The African Queen is a 1951 adventure film adapted from the 1935 novel of the same name by C. S. Forester.
Afterglow (1997),"Afterglow is a 1997 American comedy-drama film directed and written by Alan Rudolph and starring Nick Nolte, Julie Christie, Lara Flynn Boyle and Jonny Lee Miller."
"Age of Innocence, The (1993)",The Age of Innocence is a 1993 American historical romantic drama film directed by Martin Scorsese.
Aiqing wansui (1994),Vive l'amour (simplified Chinese: 爱情万岁; traditional Chinese: 愛情萬歲; pinyin: Àiqíng wànsuì; lit. 'long live love') is a 1994 Taiwanese New Wave film directed by Tsai Ming-liang.
Air Bud (1997),Air Bud is a 1997 sports comedy film directed by Charles Martin Smith.
Air Force One (1997),"Air Force One is a 1997 American political action thriller film directed and co-produced by Wolfgang Petersen and starring Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Xander Berkeley, William H. Macy, Dean Stockwell, and Paul Guilfoyle."
"Air Up There, The (1994)",The Air Up There is a 1994 American sports comedy film directed by Paul Michael Glaser and starring Kevin Bacon and Charles Gitonga Maina with Yolanda Vazquez as Sister Susan.
Airheads (1994),"Airheads is a 1994 American comedy film directed by Michael Lehmann, written by Rich Wilkes, and starring Brendan Fraser, Steve Buscemi, Adam Sandler, Chris Farley, Michael McKean, Judd Nelson, Michael Richards, and Joe Mantegna with supporting roles by Ernie Hudson, Amy Locane, Nina Siemaszko, Marshall Bell, Reg E. Cathey, and David Arquette."
Akira (1988),"Akira (Japanese: アキラ) is a 1988 Japanese animated cyberpunk action film directed by Katsuhiro Otomo, produced by Ryōhei Suzuki and Shunzō Katō, and written by Otomo and Izo Hashimoto, based on Otomo's 1982 manga of the same name."
Aladdin (1992),Aladdin is a 1992 American animated musical fantasy comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.
Aladdin and the King of Thieves (1996),Aladdin and the King of Thieves is a 1996 American direct-to-video animated musical fantasy adventure film produced by Walt Disney Television Animation.
Alaska (1996),Alaska is a 1996 American adventure survival film directed by Fraser Clarke Heston and produced by Carol Fuchs and Andy Burg.
Albino Alligator (1996),Albino Alligator is a 1996 American crime thriller film.
Alien (1979),Alien is a 1979 science fiction horror film directed by Ridley Scott and written by Dan O'Bannon.
Alien 3 (1992),"Alien 3 (stylized as Alien3) is a 1992 American science fiction horror film directed by David Fincher and written by David Giler, Walter Hill, and Larry Ferguson, from a story by Vincent Ward."
